file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch2
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,3.813525e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
1.487500e+002,4.737214e-006,-1.064895e+002
1.500000e+002,1.865305e-006,-1.145850e+002
1.512500e+002,3.000708e-006,-1.104555e+002
1.525000e+002,1.376982e-006,-1.172214e+002
1.537500e+002,1.836276e-006,-1.147212e+002
1.550000e+002,3.475375e-006,-1.091800e+002
1.562500e+002,3.173826e-005,-8.996834e+001
1.575000e+002,1.967723e-005,-9.412072e+001
1.587500e+002,3.811596e-007,-1.283779e+002
1.600000e+002,2.430374e-005,-9.228654e+001
1.612500e+002,9.599158e-005,-8.035534e+001
1.625000e+002,4.955777e-005,-8.609776e+001
1.637500e+002,4.975371e-006,-1.060635e+002
1.650000e+002,1.266129e-006,-1.179504e+002
1.662500e+002,5.638782e-006,-1.049763e+002
1.675000e+002,5.369406e-006,-1.054015e+002
1.687500e+002,1.232443e-005,-9.818467e+001
1.700000e+002,2.301889e-006,-1.127583e+002
1.712500e+002,7.324326e-006,-1.027046e+002
1.725000e+002,3.181487e-005,-8.994740e+001
1.737500e+002,8.259611e-006,-1.016608e+002
1.750000e+002,9.133759e-006,-1.007870e+002
1.762500e+002,9.644839e-006,-1.003141e+002
1.775000e+002,5.733229e-007,-1.248320e+002
1.787500e+002,2.691328e-006,-1.114007e+002
1.800000e+002,6.046992e-006,-1.043692e+002
1.812500e+002,4.504101e-006,-1.069278e+002
1.825000e+002,5.766474e-006,-1.047818e+002
1.837500e+002,2.311982e-006,-1.127203e+002
1.850000e+002,7.434365e-007,-1.225751e+002
1.862500e+002,5.413567e-007,-1.253303e+002
1.875000e+002,1.116187e-005,-9.904526e+001
1.887500e+002,2.773969e-005,-9.113797e+001
1.900000e+002,3.833694e-005,-8.832765e+001
1.912500e+002,5.741475e-005,-8.481953e+001
1.925000e+002,4.464705e-006,-1.070041e+002
1.937500e+002,1.087704e-004,-7.926978e+001
1.950000e+002,8.999310e-004,-6.091582e+001
1.962500e+002,5.710304e-004,-6.486682e+001
1.975000e+002,9.816274e-006,-1.001611e+002
1.987500e+002,1.415514e-007,-1.369817e+002
2.000000e+002,4.136933e-007,-1.276664e+002
2.012500e+002,1.220399e-006,-1.182700e+002
2.025000e+002,7.644602e-007,-1.223329e+002
2.037500e+002,1.462683e-005,-9.669700e+001
2.050000e+002,3.938031e-005,-8.809442e+001
2.062500e+002,1.197388e-005,-9.843530e+001
2.075000e+002,3.384799e-007,-1.294093e+002
2.087500e+002,7.737166e-006,-1.022284e+002
2.100000e+002,3.306024e-006,-1.096139e+002
2.112500e+002,3.179392e-006,-1.099531e+002
2.125000e+002,1.367103e-005,-9.728398e+001
2.137500e+002,1.068936e-004,-7.942097e+001
2.150000e+002,1.381924e-004,-7.719032e+001
2.162500e+002,1.530445e-005,-9.630365e+001
2.175000e+002,2.577457e-006,-1.117762e+002
2.187500e+002,1.499219e-006,-1.164827e+002
2.200000e+002,3.186477e-006,-1.099338e+002
2.212500e+002,5.036517e-006,-1.059574e+002
2.225000e+002,1.092783e-006,-1.192293e+002
2.237500e+002,2.908043e-005,-9.072798e+001
2.250000e+002,3.664726e-005,-8.871917e+001
2.262500e+002,5.640079e-006,-1.049743e+002
2.275000e+002,7.138212e-007,-1.229282e+002
2.287500e+002,1.158320e-006,-1.187234e+002
2.300000e+002,1.095949e-006,-1.192042e+002
2.312500e+002,1.297803e-005,-9.773582e+001
2.325000e+002,1.038534e-006,-1.196716e+002
2.337500e+002,1.037313e-005,-9.968181e+001
2.350000e+002,1.192016e-006,-1.184744e+002
2.362500e+002,2.021196e-005,-9.388783e+001
2.375000e+002,4.955858e-006,-1.060976e+002
2.387500e+002,1.092451e-005,-9.923196e+001
2.400000e+002,5.198440e-006,-1.056825e+002
2.412500e+002,3.013212e-006,-1.104194e+002
2.425000e+002,1.455371e-006,-1.167405e+002
2.437500e+002,5.542404e-006,-1.051260e+002
2.450000e+002,7.853343e-006,-1.020989e+002
2.462500e+002,9.119133e-006,-1.008009e+002
2.475000e+002,7.437599e-006,-1.025713e+002
2.487500e+002,4.623090e-006,-1.067014e+002
2.500000e+002,3.387069e-006,-1.094035e+002
2.512500e+002,5.913618e-006,-1.045629e+002
2.525000e+002,1.355472e-005,-9.735819e+001
2.537500e+002,1.644830e-005,-9.567758e+001
2.550000e+002,4.025050e-006,-1.079046e+002
2.562500e+002,4.416177e-006,-1.070991e+002
2.575000e+002,3.477017e-006,-1.091759e+002
2.587500e+002,1.801733e-005,-9.488619e+001
2.600000e+002,2.632068e-005,-9.159406e+001
2.612500e+002,2.636409e-005,-9.157974e+001
2.625000e+002,1.410553e-006,-1.170122e+002
2.637500e+002,1.430790e-005,-9.688848e+001
