file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch3
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,3.445490e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
0.000000e+000,7.747138e-005,-8.221717e+001
1.250000e+000,7.953125e-005,-8.198924e+001
2.500000e+000,8.291576e-008,-1.416273e+002
3.750000e+000,3.650484e-007,-1.287530e+002
5.000000e+000,2.075843e-006,-1.136561e+002
6.250000e+000,8.926883e-008,-1.409860e+002
7.500000e+000,1.429645e-005,-9.689544e+001
8.750000e+000,1.567894e-004,-7.609367e+001
1.000000e+001,2.944982e-004,-7.061835e+001
1.125000e+001,3.777705e-005,-8.845544e+001
1.250000e+001,1.984251e-005,-9.404807e+001
1.375000e+001,2.254820e-005,-9.293776e+001
1.500000e+001,3.769175e-006,-1.084751e+002
1.625000e+001,4.906438e-006,-1.061847e+002
1.750000e+001,1.094098e-005,-9.921888e+001
1.875000e+001,2.618070e-006,-1.116404e+002
2.000000e+001,1.249489e-006,-1.180654e+002
2.125000e+001,1.019639e-006,-1.198311e+002
2.250000e+001,3.239103e-006,-1.097915e+002
2.375000e+001,4.950835e-006,-1.061064e+002
2.500000e+001,4.120646e-005,-8.770069e+001
2.625000e+001,1.015021e-004,-7.987050e+001
2.750000e+001,1.449951e-005,-9.677294e+001
2.875000e+001,2.596692e-005,-9.171159e+001
3.000000e+001,6.661898e-005,-8.352804e+001
3.125000e+001,1.435680e-005,-9.685884e+001
3.250000e+001,2.306165e-006,-1.127422e+002
3.375000e+001,6.374256e-006,-1.039114e+002
3.500000e+001,1.691159e-005,-9.543631e+001
3.625000e+001,8.319317e-006,-1.015982e+002
3.750000e+001,4.268877e-007,-1.273937e+002
3.875000e+001,4.477043e-006,-1.069802e+002
4.000000e+001,8.016623e-006,-1.019202e+002
4.125000e+001,2.439964e-006,-1.122523e+002
4.250000e+001,2.243785e-006,-1.129804e+002
4.375000e+001,4.913198e-006,-1.061727e+002
4.500000e+001,2.259550e-006,-1.129196e+002
4.625000e+001,5.238298e-007,-1.256162e+002
4.750000e+001,4.798617e-007,-1.263777e+002
4.875000e+001,4.389212e-007,-1.271523e+002
5.000000e+001,4.715646e-007,-1.265292e+002
5.125000e+001,1.009164e-006,-1.199208e+002
5.250000e+001,5.200953e-007,-1.256783e+002
5.375000e+001,5.992532e-008,-1.444478e+002
5.500000e+001,6.593781e-008,-1.436173e+002
5.625000e+001,7.325851e-007,-1.227028e+002
5.750000e+001,2.377449e-006,-1.124778e+002
5.875000e+001,8.808699e-006,-1.011018e+002
6.000000e+001,1.002670e-005,-9.997684e+001
6.125000e+001,2.803121e-006,-1.110472e+002
6.250000e+001,8.162313e-007,-1.217637e+002
6.375000e+001,1.491548e-006,-1.165273e+002
6.500000e+001,3.054810e-006,-1.103003e+002
6.625000e+001,1.142547e-006,-1.188425e+002
6.750000e+001,5.255117e-007,-1.255884e+002
6.875000e+001,7.194315e-007,-1.228602e+002
7.000000e+001,3.034405e-007,-1.303585e+002
7.125000e+001,6.787351e-008,-1.433660e+002
7.250000e+001,2.045083e-007,-1.337858e+002
7.375000e+001,2.706298e-007,-1.313525e+002
7.500000e+001,1.029332e-007,-1.397489e+002
7.625000e+001,5.006474e-007,-1.260094e+002
7.750000e+001,1.247283e-006,-1.180807e+002
7.875000e+001,1.179609e-006,-1.185652e+002
8.000000e+001,2.007073e-007,-1.339487e+002
8.125000e+001,7.423148e-008,-1.425882e+002
8.250000e+001,1.183577e-007,-1.385361e+002
8.375000e+001,8.919319e-007,-1.209934e+002
8.500000e+001,1.661120e-006,-1.155920e+002
8.625000e+001,7.535395e-007,-1.224579e+002
8.750000e+001,3.145361e-007,-1.300466e+002
8.875000e+001,6.375580e-007,-1.239096e+002
9.000000e+001,1.644374e-006,-1.156800e+002
9.125000e+001,5.915072e-007,-1.245608e+002
9.250000e+001,1.224370e-007,-1.382417e+002
9.375000e+001,7.415642e-007,-1.225970e+002
9.500000e+001,5.638770e-007,-1.249763e+002
9.625000e+001,1.258090e-007,-1.380058e+002
9.750000e+001,4.286542e-007,-1.273579e+002
9.875000e+001,3.067949e-007,-1.302630e+002
1.000000e+002,1.027809e-007,-1.397618e+002
1.012500e+002,8.607044e-008,-1.413029e+002
1.025000e+002,2.161881e-007,-1.333034e+002
1.037500e+002,1.958361e-007,-1.341621e+002
1.050000e+002,3.542417e-007,-1.290140e+002
1.062500e+002,1.213635e-004,-7.831824e+001
1.075000e+002,2.906758e-004,-7.073182e+001
1.087500e+002,4.382057e-005,-8.716644e+001
1.100000e+002,1.625510e-007,-1.357802e+002
1.112500e+002,7.248076e-007,-1.227955e+002
1.125000e+002,3.490577e-007,-1.291421e+002
1.137500e+002,1.329277e-007,-1.375277e+002
1.150000e+002,1.380447e-007,-1.371996e+002
1.162500e+002,2.866119e-006,-1.108541e+002
1.175000e+002,3.958397e-007,-1.280496e+002
1.187500e+002,3.030152e-005,-9.037071e+001
1.200000e+002,4.063279e-005,-8.782247e+001
1.212500e+002,5.105017e-006,-1.058401e+002
1.225000e+002,1.120476e-006,-1.190119e+002
1.237500e+002,1.794320e-006,-1.149220e+002
1.250000e+002,1.566096e-006,-1.161036e+002
1.262500e+002,4.270826e-006,-1.073898e+002
1.275000e+002,3.184576e-006,-1.099390e+002
1.287500e+002,1.208651e-006,-1.183540e+002
1.300000e+002,2.536089e-007,-1.319167e+002
1.312500e+002,9.777420e-008,-1.401955e+002
1.325000e+002,3.918070e-007,-1.281386e+002
1.337500e+002,1.018135e-006,-1.198439e+002
1.350000e+002,1.828227e-007,-1.347594e+002
1.362500e+002,7.009182e-007,-1.230867e+002
1.375000e+002,1.096957e-007,-1.391962e+002
1.387500e+002,5.210841e-007,-1.256618e+002
1.400000e+002,5.186606e-006,-1.057023e+002
1.412500e+002,1.023825e-005,-9.979548e+001
