file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch3
ch_type,Time Waveform
x_unit,Sec
y_unit,g
window,Rectangular,1.000000e+000
weighting,None
detection,pk
average,1.252585e-002
overall,3.736592e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y
0.000000e+000,1.640917e-002
1.953125e-004,2.565483e-001
3.906250e-004,5.033217e-002
5.859375e-004,-1.685553e-001
7.812500e-004,4.534198e-003
9.765625e-004,3.179526e-001
1.171875e-003,-5.786561e-003
1.367188e-003,-1.854076e-001
1.562500e-003,-2.468826e-001
1.757813e-003,-4.197665e-002
1.953125e-003,7.177585e-001
2.148438e-003,1.418446e-001
2.343750e-003,-2.776522e-001
2.539063e-003,-1.498019e-001
2.734375e-003,1.507846e-001
2.929688e-003,2.794312e-001
3.125000e-003,-2.783587e-001
3.320313e-003,-1.901858e-001
3.515625e-003,-5.035786e-002
3.710938e-003,-2.901373e-001
3.906250e-003,3.300716e-001
4.101563e-003,6.084303e-001
4.296875e-003,-1.714132e-001
4.492188e-003,5.713988e-002
4.687500e-003,-8.777463e-002
4.882813e-003,5.396723e-002
5.078125e-003,2.873307e-001
5.273438e-003,-6.921974e-001
5.468750e-003,1.522489e-001
5.664063e-003,-1.559482e-001
5.859375e-003,-9.033073e-002
6.054688e-003,5.801783e-001
6.250000e-003,-2.427016e-002
6.445313e-003,-2.784229e-001
6.640625e-003,3.956890e-001
6.835938e-003,5.568843e-002
7.031250e-003,-8.556982e-001
7.226563e-003,3.413558e-001
7.421875e-003,2.633175e-001
7.617188e-003,-1.065408e-001
7.812500e-003,9.706717e-001
8.007813e-003,-7.955398e-002
8.203125e-003,-4.394062e-001
8.398437e-003,-2.973882e-001
8.593750e-003,-3.418182e-001
8.789063e-003,1.810468e-001
8.984375e-003,6.645875e-002
9.179688e-003,1.814386e-001
9.375000e-003,4.772147e-001
9.570313e-003,-1.410354e-001
9.765625e-003,2.341534e-001
9.960938e-003,1.607971e-001
1.015625e-002,8.002282e-002
1.035156e-002,-3.826773e-001
1.054688e-002,-5.157233e-001
1.074219e-002,2.848966e-001
1.093750e-002,2.226253e-001
1.113281e-002,-1.597823e-001
1.132813e-002,4.824233e-001
1.152344e-002,-6.607342e-002
1.171875e-002,8.827557e-002
1.191406e-002,6.846383e-001
1.210938e-002,-4.346729e-001
1.230469e-002,-5.008363e-001
1.250000e-002,-1.612273e-001
1.269531e-002,1.387298e-001
1.289063e-002,1.065729e-001
1.308594e-002,-2.101594e-001
1.328125e-002,3.530252e-001
1.347656e-002,4.594569e-002
1.367188e-002,2.024911e-001
1.386719e-002,4.927376e-001
1.406250e-002,3.324222e-002
1.425781e-002,-5.370456e-001
1.445313e-002,-1.817019e-001
1.464844e-002,-5.281827e-001
1.484375e-002,2.662140e-001
1.503906e-002,-8.879579e-002
1.523438e-002,1.232133e-001
1.542969e-002,5.408027e-001
1.562500e-002,-4.188482e-001
1.582031e-002,9.020357e-001
1.601563e-002,-3.584971e-002
1.621094e-002,-7.961628e-001
1.640625e-002,-2.880500e-001
1.660156e-002,1.020901e-001
1.679687e-002,3.534170e-001
1.699219e-002,-1.093217e-001
1.718750e-002,4.907724e-001
1.738281e-002,-1.494487e-001
1.757813e-002,3.947000e-001
1.777344e-002,6.707594e-001
1.796875e-002,-2.284696e-001
1.816406e-002,-7.994767e-001
1.835938e-002,-3.461469e-001
1.855469e-002,1.744189e-001
1.875000e-002,1.086152e-001
1.894531e-002,5.415092e-001
1.914063e-002,4.313269e-001
1.933594e-002,-5.032575e-002
1.953125e-002,-1.767438e-001
1.972656e-002,4.825132e-002
1.992188e-002,9.665677e-002
2.011719e-002,-1.533664e-001
2.031250e-002,-3.242787e-001
2.050781e-002,1.344589e-001
2.070313e-002,4.638369e-001
2.089844e-002,-2.394262e-002
2.109375e-002,-1.066115e-003
2.128906e-002,-9.286757e-002
2.148438e-002,-2.664901e-001
2.167969e-002,1.286659e-001
2.187500e-002,3.635194e-001
2.207031e-002,-4.029078e-001
2.226563e-002,-3.923366e-001
2.246094e-002,7.023576e-001
2.265625e-002,2.577749e-001
2.285156e-002,-5.107716e-001
2.304688e-002,7.532806e-002
2.324219e-002,-1.949384e-001
2.343750e-002,3.059620e-001
2.363281e-002,8.520952e-001
2.382813e-002,-8.655052e-001
2.402344e-002,-3.363527e-001
2.421875e-002,-5.255303e-001
2.441406e-002,1.247804e-001
2.460938e-002,7.397807e-001
2.480469e-002,-2.122596e-001
2.500000e-002,3.196096e-001
2.519531e-002,1.810661e-001
2.539063e-002,2.879087e-001
2.558594e-002,3.660755e-003
2.578125e-002,-1.769365e-002
2.597656e-002,-7.901065e-001
2.617188e-002,-4.058750e-001
2.636719e-002,3.554529e-001
2.656250e-002,3.714446e-001
2.675781e-002,4.234209e-001
2.695313e-002,3.165461e-001
2.714844e-002,1.145238e-001
2.734375e-002,-4.450451e-001
2.753906e-002,1.003426e+000
2.773438e-002,-2.079116e-001
2.792969e-002,-1.099113e+000
2.812500e-002,-3.223391e-001
2.832031e-002,7.392156e-003
2.851563e-002,1.296029e+000
2.871094e-002,4.721603e-001
2.890625e-002,-2.332607e-001
2.910156e-002,1.470724e-003
2.929688e-002,2.601255e-001
2.949219e-002,3.061675e-001
2.968750e-002,-4.961993e-001
2.988281e-002,-3.231355e-001
3.007813e-002,-6.837070e-001
3.027344e-002,9.792069e-001
3.046875e-002,8.483896e-001
3.066406e-002,-5.878209e-001
3.085938e-002,5.437184e-002
3.105469e-002,3.513040e-002
3.125000e-002,2.704527e-001
3.144531e-002,2.033260e-001
3.164062e-002,-4.229135e-002
3.183594e-002,-5.057686e-001
3.203125e-002,-7.421634e-001
3.222656e-002,7.373017e-001
3.242188e-002,3.641488e-002
3.261719e-002,9.236020e-002
3.281250e-002,2.963220e-001
3.300781e-002,-2.944467e-001
3.320313e-002,3.482662e-001
3.339844e-002,2.476725e-001
3.359375e-002,-3.095072e-001
3.378906e-002,-4.585577e-001
3.398438e-002,-3.444385e-001
3.417969e-002,-5.038355e-002
3.437500e-002,6.059962e-001
3.457031e-002,2.072758e-001
3.476563e-002,7.793555e-002
3.496094e-002,4.443001e-002
3.515625e-002,9.411351e-002
3.535156e-002,7.311555e-001
3.554687e-002,-3.224290e-001
3.574219e-002,-4.545309e-001
3.593750e-002,-4.820893e-001
3.613281e-002,3.640203e-001
3.632813e-002,1.097770e+000
3.652344e-002,-4.274541e-001
3.671875e-002,1.496863e-001
3.691406e-002,-7.844292e-002
3.710938e-002,-1.775595e-001
3.730469e-002,6.333748e-001
3.750000e-002,-1.948678e-001
3.769531e-002,-1.759667e-001
3.789063e-002,-3.153323e-001
3.808594e-002,3.697491e-001
3.828125e-002,9.260682e-001
3.847656e-002,-1.971670e-001
3.867188e-002,-2.793156e-001
3.886719e-002,-3.664608e-002
3.906250e-002,2.605237e-001
3.925781e-002,2.186434e-001
3.945313e-002,-4.940349e-001
3.964844e-002,-1.659928e-001
3.984375e-002,-3.936146e-001
4.003906e-002,6.541319e-001
4.023438e-002,4.738173e-001
4.042969e-002,-6.644463e-001
4.062500e-002,-3.219602e-001
4.082031e-002,4.300873e-001
4.101563e-002,1.932493e-001
4.121094e-002,3.100402e-001
4.140625e-002,-1.628522e-001
4.160156e-002,-7.882312e-001
4.179688e-002,-1.421657e-001
4.199219e-002,-7.581615e-002
4.218750e-002,5.162499e-001
4.238281e-002,4.341527e-003
4.257813e-002,1.816055e-001
4.277344e-002,5.620222e-002
4.296875e-002,-5.266349e-003
4.316406e-002,5.662161e-001
4.335938e-002,-2.970992e-001
4.355469e-002,-4.601440e-001
4.375000e-002,-7.212715e-001
4.394531e-002,9.212900e-002
4.414063e-002,8.743231e-001
4.433594e-002,4.671380e-001
4.453125e-002,-5.083954e-001
4.472656e-002,1.032975e-001
4.492188e-002,4.210446e-001
4.511719e-002,2.991158e-001
4.531250e-002,5.895742e-003
4.550781e-002,-7.286251e-001
4.570313e-002,-4.204859e-001
4.589844e-002,1.341313e-001
4.609375e-002,9.176099e-001
4.628906e-002,-7.758231e-003
4.648438e-002,-5.385292e-001
4.667969e-002,5.526776e-001
4.687500e-002,4.733292e-002
4.707031e-002,4.017389e-001
4.726563e-002,-8.729295e-002
4.746094e-002,-5.169307e-001
4.765625e-002,-2.436264e-001
4.785156e-002,-3.060263e-002
4.804688e-002,5.254982e-001
4.824219e-002,2.310065e-001
4.843750e-002,1.447604e-001
4.863281e-002,-1.901088e-001
4.882813e-002,2.268769e-001
4.902344e-002,9.803758e-002
4.921875e-002,1.910657e-002
4.941406e-002,-4.150847e-001
4.960938e-002,-4.350325e-001
4.980469e-002,-3.445734e-001
5.000000e-002,6.278002e-001
5.019531e-002,6.680750e-001
5.039063e-002,-6.421157e-001
5.058594e-002,9.227671e-002
5.078125e-002,1.461733e-001
5.097656e-002,3.454661e-001
5.117188e-002,6.179611e-002
5.136719e-002,-7.579240e-001
5.156250e-002,-4.345059e-001
5.175781e-002,-1.802440e-001
5.195313e-002,8.396937e-001
5.214844e-002,1.910657e-001
5.234375e-002,-2.842480e-001
5.253906e-002,4.028436e-001
5.273438e-002,7.076817e-002
5.292969e-002,1.104649e-003
5.312500e-002,-3.306882e-002
5.332031e-002,-8.772453e-001
5.351563e-002,-1.248703e-001
5.371094e-002,4.059520e-001
5.390625e-002,1.888821e-001
5.410156e-002,1.208704e+000
5.429688e-002,-1.969358e-001
5.449219e-002,-3.952267e-001
5.468750e-002,1.800256e-001
5.488281e-002,-3.953615e-002
5.507813e-002,-1.999350e-001
5.527344e-002,-2.470753e-001
5.546875e-002,-2.793927e-001
5.566406e-002,5.674813e-002
5.585938e-002,1.059358e+000
5.605469e-002,5.820664e-001
5.625000e-002,-5.490683e-001
5.644531e-002,-5.884824e-001
5.664063e-002,-4.536125e-002
5.683594e-002,6.029006e-001
5.703125e-002,1.727748e-001
5.722656e-002,-4.756284e-001
5.742188e-002,-3.079466e-001
5.761719e-002,-1.382096e-002
5.781250e-002,5.608791e-001
5.800781e-002,5.191914e-001
5.820313e-002,-6.728275e-001
5.839844e-002,-4.359509e-002
5.859375e-002,3.132193e-001
5.878906e-002,1.707132e-001
5.898438e-002,3.311442e-001
5.917969e-002,-3.947386e-001
5.937500e-002,-6.831290e-001
5.957031e-002,-3.137973e-001
5.976563e-002,5.541034e-001
5.996094e-002,5.261211e-002
6.015625e-002,-1.393913e-001
6.035156e-002,-2.145267e-001
6.054688e-002,6.452626e-001
6.074219e-002,7.530751e-001
6.093750e-002,7.464087e-002
6.113281e-002,-5.502051e-001
6.132813e-002,-8.512411e-001
6.152344e-002,-3.820158e-001
6.171875e-002,3.809112e-002
6.191406e-002,7.218751e-001
6.210938e-002,6.105690e-001
6.230469e-002,-1.987469e-001
6.250000e-002,6.601562e-002
6.269531e-002,1.497506e-001
6.289063e-002,9.568057e-002
6.308594e-002,-6.362392e-001
6.328125e-002,-2.734391e-001
6.347656e-002,-2.073978e-001
6.367188e-002,1.788054e-001
6.386719e-002,1.264412e+000
6.406250e-002,-3.715345e-001
6.425781e-002,-5.542190e-001
6.445313e-002,5.442129e-001
6.464844e-002,-9.626501e-002
6.484375e-002,1.110557e-001
6.503906e-002,-4.945230e-003
6.523437e-002,-3.364105e-001
6.542969e-002,-3.997544e-001
6.562500e-002,4.153287e-001
6.582031e-002,4.355592e-001
6.601563e-002,-2.482249e-001
6.621094e-002,-4.135433e-001
6.640625e-002,7.696576e-002
6.660156e-002,5.193777e-002
6.679688e-002,1.270603e-001
6.699219e-002,2.445705e-001
6.718750e-002,-4.681142e-001
6.738281e-002,-1.683305e-002
6.757813e-002,1.876619e-002
6.777344e-002,-6.135939e-002
6.796875e-002,2.699903e-001
6.816406e-002,-3.597366e-001
6.835938e-002,-2.430227e-001
6.855469e-002,-6.846896e-002
6.875000e-002,2.678003e-001
6.894531e-002,-2.760723e-001
6.914062e-002,8.252113e-002
6.933594e-002,-3.066556e-001
6.953125e-002,-3.201812e-001
6.972656e-002,8.568543e-001
6.992188e-002,1.759731e-003
7.011719e-002,-8.223789e-001
7.031250e-002,1.355443e-001
7.050781e-002,7.649051e-002
7.070313e-002,-2.727776e-001
7.089844e-002,2.151817e-001
7.109375e-002,6.326041e-003
7.128906e-002,-2.843828e-002
7.148438e-002,1.963064e-001
7.167969e-002,1.032012e-001
7.187500e-002,-1.769943e-001
7.207031e-002,-3.877253e-001
7.226563e-002,-3.580347e-001
7.246094e-002,2.034031e-001
7.265625e-002,1.347736e-001
7.285156e-002,1.248253e-001
7.304687e-002,-1.308559e-001
7.324219e-002,1.843993e-001
7.343750e-002,1.097713e-001
7.363281e-002,2.789302e-001
7.382813e-002,-1.057894e-001
7.402344e-002,-1.035473e+000
7.421875e-002,1.965247e-003
7.441406e-002,3.308680e-001
7.460938e-002,2.159781e-001
7.480469e-002,5.209511e-001
7.500000e-002,-5.624204e-001
7.519531e-002,-5.703071e-003
7.539063e-002,-1.283897e-001
7.558594e-002,-1.462953e-001
7.578125e-002,2.067492e-001
7.597656e-002,-6.219237e-001
7.617188e-002,4.345188e-001
7.636719e-002,2.034095e-001
7.656250e-002,1.490377e-001
7.675781e-002,7.713917e-002
7.695313e-002,-2.304734e-001
7.714844e-002,-1.236950e-001
7.734375e-002,-3.223777e-001
7.753906e-002,-8.553964e-002
7.773438e-002,3.311827e-001
7.792969e-002,4.732650e-002
7.812500e-002,-3.340535e-001
7.832031e-002,3.924072e-001
7.851563e-002,-6.421092e-002
7.871094e-002,-1.403546e-001
7.890625e-002,2.226638e-002
7.910156e-002,-4.973489e-002
7.929688e-002,-1.024176e-001
7.949219e-002,6.514859e-002
7.968750e-002,3.756898e-001
7.988281e-002,-3.184985e-001
8.007813e-002,-5.426908e-002
8.027344e-002,1.749263e-001
8.046875e-002,-4.829627e-002
8.066406e-002,3.588952e-001
8.085938e-002,-1.883041e-002
8.105469e-002,2.054968e-001
8.125000e-002,-2.466642e-001
8.144531e-002,-3.311634e-001
8.164063e-002,1.363342e-001
8.183594e-002,1.810019e-001
8.203125e-002,-3.234823e-001
8.222656e-002,2.445063e-001
8.242188e-002,4.411145e-001
8.261719e-002,-7.805115e-002
8.281250e-002,2.168259e-001
8.300781e-002,-9.808254e-002
8.320313e-002,-5.840831e-001
8.339844e-002,-3.657736e-001
8.359375e-002,4.848060e-001
8.378906e-002,3.716244e-001
8.398438e-002,-2.164213e-001
8.417969e-002,1.030213e-001
8.437500e-002,5.281763e-002
8.457031e-002,1.526984e-001
8.476563e-002,1.590630e-001
8.496094e-002,-1.667506e-001
8.515625e-002,-4.563998e-001
8.535156e-002,-3.215170e-001
8.554688e-002,7.494850e-001
8.574219e-002,-1.125008e-001
8.593750e-002,5.702429e-002
8.613281e-002,4.320911e-001
8.632813e-002,-2.248281e-001
8.652344e-002,2.412245e-001
8.671875e-002,7.901451e-002
8.691406e-002,-4.261761e-001
8.710938e-002,4.241916e-001
8.730469e-002,-4.714217e-001
8.750000e-002,1.615806e-001
8.769531e-002,5.373860e-001
8.789063e-002,-6.515180e-001
8.808594e-002,-1.640789e-001
8.828125e-002,2.888272e-001
8.847656e-002,2.284375e-001
8.867188e-002,-5.883539e-002
8.886719e-002,-1.887087e-001
8.906250e-002,1.736482e-001
8.925781e-002,-4.518142e-001
8.945313e-002,1.692489e-001
8.964844e-002,2.916016e-001
8.984375e-002,-5.323123e-001
9.003906e-002,-2.033389e-001
9.023438e-002,1.890298e-001
9.042969e-002,-3.078053e-001
9.062500e-002,6.430726e-001
9.082031e-002,5.994004e-002
9.101563e-002,-4.470617e-001
9.121094e-002,-1.396931e-001
9.140625e-002,4.966424e-002
9.160156e-002,2.294009e-001
9.179688e-002,-3.069511e-001
9.199219e-002,-1.343176e-001
9.218750e-002,-7.396010e-002
9.238281e-002,1.673607e-001
9.257813e-002,6.862438e-001
9.277344e-002,-1.502708e-001
9.296875e-002,-9.197485e-002
9.316406e-002,-2.178021e-001
9.335938e-002,-6.049879e-002
9.355469e-002,1.399693e-001
9.375000e-002,-3.060070e-001
9.394531e-002,4.184821e-002
9.414063e-002,6.890183e-001
9.433594e-002,-3.724722e-001
9.453125e-002,3.817589e-001
9.472656e-002,4.680500e-001
9.492188e-002,-5.806535e-001
9.511719e-002,-4.058685e-001
9.531250e-002,-5.441166e-001
9.550781e-002,2.971891e-001
9.570313e-002,5.251321e-001
9.589844e-002,-2.226638e-002
9.609375e-002,2.380775e-001
9.628906e-002,-3.061098e-001
9.648438e-002,2.523031e-001
9.667969e-002,-1.321532e-001
9.687500e-002,-2.160423e-001
9.707031e-002,-4.859427e-001
9.726563e-002,-4.342362e-001
9.746094e-002,7.646803e-001
9.765625e-002,9.762655e-002
9.785156e-002,4.604844e-003
9.804688e-002,3.897741e-002
9.824219e-002,-6.996281e-001
9.843750e-002,7.262424e-002
9.863281e-002,1.940328e-001
9.882813e-002,-6.835335e-002
9.902344e-002,-3.978020e-001
9.921875e-002,-1.628715e-002
9.941406e-002,5.018188e-001
9.960938e-002,2.116815e-002
9.980469e-002,-3.942440e-001
1.000000e-001,-1.614457e-001
1.001953e-001,-2.625339e-001
1.003906e-001,1.460384e-001
1.005859e-001,3.885217e-001
1.007813e-001,3.141185e-002
1.009766e-001,-6.402467e-002
1.011719e-001,-2.832140e-001
1.013672e-001,1.943540e-001
1.015625e-001,3.906089e-002
1.017578e-001,-2.401648e-001
1.019531e-001,6.209154e-002
1.021484e-001,-4.346151e-001
1.023438e-001,5.223191e-001
1.025391e-001,2.031590e-001
1.027344e-001,6.352373e-002
1.029297e-001,3.882969e-002
1.031250e-001,-5.655866e-001
1.033203e-001,4.420843e-001
1.035156e-001,-4.184179e-002
1.037109e-001,-4.236714e-001
1.039063e-001,8.935453e-002
1.041016e-001,-8.027971e-003
1.042969e-001,-1.469311e-001
1.044922e-001,6.615883e-001
1.046875e-001,2.339094e-001
1.048828e-001,-1.608741e-001
1.050781e-001,-3.376372e-001
1.052734e-001,-1.120448e-001
1.054688e-001,1.999864e-001
1.056641e-001,4.367859e-002
1.058594e-001,-2.131266e-001
1.060547e-001,-4.290148e-003
1.062500e-001,1.156927e-001
1.064453e-001,7.740249e-002
1.066406e-001,2.160102e-001
1.068359e-001,-2.376151e-001
1.070313e-001,-1.448117e-001
1.072266e-001,4.390337e-001
1.074219e-001,-5.242586e-002
1.076172e-001,-7.934975e-001
1.078125e-001,-7.403074e-002
1.080078e-001,2.020801e-001
1.082031e-001,2.821350e-002
1.083984e-001,7.840181e-001
1.085938e-001,-1.243372e-001
1.087891e-001,-3.001048e-001
1.089844e-001,-3.654268e-001
1.091797e-001,-2.021315e-001
1.093750e-001,1.019424e-001
1.095703e-001,-2.617761e-002
1.097656e-001,3.630248e-001
1.099609e-001,9.154455e-002
1.101563e-001,9.835228e-002
1.103516e-001,3.843343e-001
1.105469e-001,2.659956e-001
1.107422e-001,-4.423541e-001
1.109375e-001,-4.584871e-001
1.111328e-001,-2.533756e-001
1.113281e-001,5.178491e-001
1.115234e-001,4.993206e-001
1.117188e-001,-2.066079e-001
1.119141e-001,4.658921e-001
1.121094e-001,-9.941839e-002
1.123047e-001,1.907896e-001
1.125000e-001,3.765118e-001
1.126953e-001,-3.643350e-001
1.128906e-001,-2.840682e-001
1.130859e-001,1.537067e-001
1.132813e-001,2.589695e-001
1.134766e-001,-1.181846e-001
1.136719e-001,4.021693e-002
1.138672e-001,1.905776e-001
1.140625e-001,-1.548756e-001
1.142578e-001,2.184893e-001
1.144531e-001,4.012958e-001
1.146484e-001,2.301908e-001
1.148438e-001,-5.441423e-001
1.150391e-001,-2.235694e-001
1.152344e-001,9.196844e-003
1.154297e-001,3.296992e-001
1.156250e-001,-1.048581e-001
1.158203e-001,-1.102658e-001
1.160156e-001,8.243763e-002
1.162109e-001,-1.241767e-001
1.164063e-001,6.661032e-001
1.166016e-001,2.553537e-002
1.167969e-001,-4.930202e-001
1.169922e-001,-3.422678e-001
1.171875e-001,3.810846e-001
1.173828e-001,-9.681733e-002
1.175781e-001,-3.316323e-001
1.177734e-001,3.749833e-001
1.179688e-001,-1.680736e-002
1.181641e-001,2.202875e-001
1.183594e-001,4.403952e-001
1.185547e-001,-1.296742e-001
1.187500e-001,-5.534804e-001
1.189453e-001,-6.024190e-002
1.191406e-001,2.684810e-001
1.193359e-001,1.343882e-001
1.195313e-001,7.234165e-001
1.197266e-001,1.737960e-001
1.199219e-001,-2.723280e-001
1.201172e-001,-3.908658e-002
1.203125e-001,1.611567e-001
1.205078e-001,-2.276668e-001
1.207031e-001,-3.190637e-002
1.208984e-001,-2.837021e-001
1.210938e-001,4.528225e-001
1.212891e-001,9.227672e-001
1.214844e-001,-3.491140e-001
1.216797e-001,6.934240e-002
1.218750e-001,1.396931e-001
1.220703e-001,-3.224675e-001
1.222656e-001,1.038627e-001
1.224609e-001,2.194269e-001
1.226563e-001,-2.169800e-001
1.228516e-001,-6.205429e-001
1.230469e-001,7.791307e-001
1.232422e-001,4.335169e-001
1.234375e-001,-3.999407e-001
1.236328e-001,1.236500e-001
1.238281e-001,-2.754493e-001
1.240234e-001,2.210582e-001
1.242188e-001,9.202303e-001
1.244141e-001,-7.578790e-001
1.246094e-001,-1.427502e-001
1.248047e-001,-3.457230e-001
1.250000e-001,1.781567e-002
1.251953e-001,5.308416e-001
1.253906e-001,-1.765447e-001
1.255859e-001,1.232518e-001
1.257813e-001,-6.311270e-002
1.259766e-001,2.740878e-001
1.261719e-001,2.676333e-001
1.263672e-001,-1.559482e-001
1.265625e-001,-6.835464e-001
1.267578e-001,-3.254732e-001
1.269531e-001,8.959216e-002
1.271484e-001,1.922860e-001
1.273438e-001,3.707895e-001
1.275391e-001,2.152781e-002
1.277344e-001,4.585577e-001
1.279297e-001,-7.148748e-002
1.281250e-001,5.339885e-001
1.283203e-001,-3.297377e-001
1.285156e-001,-7.388752e-001
1.287109e-001,-4.052970e-001
1.289063e-001,8.239910e-002
1.291016e-001,1.069820e+000
1.292969e-001,4.344417e-001
1.294922e-001,-1.734684e-002
1.296875e-001,-4.351161e-002
1.298828e-001,-1.438548e-001
1.300781e-001,1.739758e-001
1.302734e-001,-1.714453e-001
1.304687e-001,-8.728652e-002
1.306641e-001,-7.317335e-001
1.308594e-001,7.454003e-001
1.310547e-001,9.153172e-001
1.312500e-001,-2.560923e-001
1.314453e-001,1.143247e-001
1.316406e-001,-3.875455e-001
1.318359e-001,1.645285e-001
1.320313e-001,3.742769e-001
1.322266e-001,-1.204902e-001
1.324219e-001,-3.223841e-001
1.326172e-001,-4.723594e-001
1.328125e-001,7.430947e-001
1.330078e-001,1.614329e-001
1.332031e-001,-6.838547e-002
1.333984e-001,-2.753337e-001
1.335938e-001,-1.467449e-001
1.337891e-001,1.385692e-001
1.339844e-001,9.004173e-002
1.341797e-001,-4.472543e-002
1.343750e-001,-1.329882e-001
1.345703e-001,-1.562115e-001
1.347656e-001,-2.218418e-001
1.349609e-001,5.567751e-001
1.351563e-001,-3.917650e-004
1.353516e-001,3.236236e-002
1.355469e-001,4.021693e-002
1.357422e-001,-2.617440e-001
1.359375e-001,4.947285e-001
1.361328e-001,-2.244428e-001
