file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch4
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,2.759439e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
0.000000e+000,6.930526e-004,-6.318468e+001
1.250000e+000,6.923708e-004,-6.319323e+001
2.500000e+000,5.182279e-009,-1.657096e+002
3.750000e+000,1.703124e-008,-1.553751e+002
5.000000e+000,1.164339e-008,-1.586784e+002
6.250000e+000,6.849348e-009,-1.632870e+002
7.500000e+000,1.310183e-007,-1.376534e+002
8.750000e+000,5.147536e-006,-1.057680e+002
1.000000e+001,2.451614e-005,-9.221096e+001
1.125000e+001,2.148008e-005,-9.335928e+001
1.250000e+001,6.074158e-006,-1.043303e+002
1.375000e+001,6.785131e-007,-1.233688e+002
1.500000e+001,9.034318e-007,-1.208821e+002
1.625000e+001,3.027633e-006,-1.103779e+002
1.750000e+001,2.888701e-006,-1.107859e+002
1.875000e+001,6.346325e-006,-1.039496e+002
2.000000e+001,6.780234e-007,-1.233751e+002
2.125000e+001,2.982264e-006,-1.105091e+002
2.250000e+001,2.109797e-006,-1.135152e+002
2.375000e+001,1.472253e-006,-1.166403e+002
2.500000e+001,1.088431e-006,-1.192640e+002
2.625000e+001,4.780185e-006,-1.064111e+002
2.750000e+001,2.513474e-006,-1.119945e+002
2.875000e+001,6.005979e-005,-8.442832e+001
3.000000e+001,8.665985e-005,-8.124364e+001
3.125000e+001,6.564000e-006,-1.036566e+002
3.250000e+001,9.312247e-007,-1.206189e+002
3.375000e+001,6.081520e-006,-1.043198e+002
3.500000e+001,9.557292e-006,-1.003933e+002
3.625000e+001,1.477889e-006,-1.166072e+002
3.750000e+001,1.303882e-006,-1.176952e+002
3.875000e+001,2.123889e-007,-1.334574e+002
4.000000e+001,2.367988e-006,-1.125124e+002
4.125000e+001,9.588528e-008,-1.403650e+002
4.250000e+001,3.966391e-006,-1.080321e+002
4.375000e+001,6.642117e-006,-1.035539e+002
4.500000e+001,5.854249e-006,-1.046506e+002
4.625000e+001,4.956433e-006,-1.060966e+002
4.750000e+001,3.455954e-006,-1.092286e+002
4.875000e+001,1.608600e-007,-1.358710e+002
5.000000e+001,3.718931e-006,-1.085916e+002
5.125000e+001,2.653132e-006,-1.115248e+002
5.250000e+001,8.503574e-007,-1.214080e+002
5.375000e+001,9.523106e-007,-1.204244e+002
5.500000e+001,2.886958e-007,-1.307912e+002
5.625000e+001,1.302050e-006,-1.177074e+002
5.750000e+001,1.519913e-006,-1.163636e+002
5.875000e+001,6.470223e-006,-1.037816e+002
6.000000e+001,4.802320e-006,-1.063710e+002
6.125000e+001,9.647628e-007,-1.203116e+002
6.250000e+001,1.162440e-006,-1.186926e+002
6.375000e+001,1.515895e-006,-1.163866e+002
6.500000e+001,1.408389e-006,-1.170255e+002
6.625000e+001,1.020137e-007,-1.398268e+002
6.750000e+001,3.782980e-008,-1.484433e+002
6.875000e+001,1.170809e-007,-1.386303e+002
7.000000e+001,7.587272e-008,-1.423983e+002
7.125000e+001,2.618369e-008,-1.516394e+002
7.250000e+001,1.033548e-008,-1.597134e+002
7.375000e+001,4.792642e-008,-1.463885e+002
7.500000e+001,4.878412e-007,-1.262344e+002
7.625000e+001,4.152875e-007,-1.276330e+002
7.750000e+001,7.830605e-008,-1.421241e+002
7.875000e+001,2.079988e-007,-1.336388e+002
8.000000e+001,2.256445e-008,-1.529315e+002
8.125000e+001,3.496448e-008,-1.491275e+002
8.250000e+001,9.254995e-008,-1.406725e+002
8.375000e+001,1.019574e-007,-1.398316e+002
8.500000e+001,1.251779e-008,-1.580494e+002
8.625000e+001,3.613653e-008,-1.488411e+002
8.750000e+001,1.116494e-008,-1.590429e+002
8.875000e+001,7.192424e-008,-1.428625e+002
9.000000e+001,2.229733e-007,-1.330349e+002
9.125000e+001,5.600363e-008,-1.450357e+002
9.250000e+001,1.526460e-007,-1.363263e+002
9.375000e+001,9.407092e-007,-1.205309e+002
9.500000e+001,5.937359e-007,-1.245281e+002
9.625000e+001,5.720358e-008,-1.448515e+002
9.750000e+001,7.254911e-007,-1.227874e+002
9.875000e+001,4.871543e-007,-1.262467e+002
1.000000e+002,2.698310e-007,-1.313782e+002
1.012500e+002,2.417371e-007,-1.323331e+002
1.025000e+002,3.280612e-009,-1.696809e+002
1.037500e+002,1.446118e-007,-1.367959e+002
1.050000e+002,1.527399e-008,-1.563209e+002
1.062500e+002,1.388844e-005,-9.714693e+001
1.075000e+002,3.196191e-005,-8.990735e+001
1.087500e+002,3.631284e-006,-1.087988e+002
1.100000e+002,3.002255e-007,-1.304510e+002
1.112500e+002,5.039868e-009,-1.659516e+002
1.125000e+002,2.021833e-008,-1.538851e+002
1.137500e+002,9.258810e-008,-1.406689e+002
1.150000e+002,1.383986e-007,-1.371774e+002
1.162500e+002,5.296937e-007,-1.255195e+002
1.175000e+002,5.489906e-007,-1.252087e+002
1.187500e+002,3.170671e-007,-1.299770e+002
1.200000e+002,4.566299e-007,-1.268087e+002
1.212500e+002,4.244603e-008,-1.474433e+002
1.225000e+002,6.301159e-007,-1.240116e+002
1.237500e+002,6.122203e-007,-1.242618e+002
1.250000e+002,7.591269e-007,-1.223937e+002
1.262500e+002,9.866549e-007,-1.201167e+002
1.275000e+002,2.910365e-007,-1.307210e+002
1.287500e+002,3.090488e-008,-1.501995e+002
1.300000e+002,2.736671e-008,-1.512555e+002
1.312500e+002,8.940835e-009,-1.609724e+002
1.325000e+002,4.394824e-009,-1.671412e+002
1.337500e+002,5.911021e-008,-1.445667e+002
1.350000e+002,8.528556e-008,-1.413825e+002
1.362500e+002,5.643017e-008,-1.449698e+002
1.375000e+002,1.204289e-007,-1.383854e+002
1.387500e+002,9.954076e-008,-1.400400e+002
1.400000e+002,1.575601e-006,-1.160511e+002
1.412500e+002,6.094432e-006,-1.043013e+002
