file name,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch4
ch_type,Overall
x_unit,
y_unit,g
unit,g
db_ref,1.000000e+000
detection,rms
data
record,rpm,value,value(dB),time,alarm,note
1,0.000000e+000,3.072775e-002,-3.024938e+001,2020-06-23T17:02:12.204000,Normal,
2,0.000000e+000,3.088131e-002,-3.020609e+001,2020-06-23T17:02:12.254000,Normal,
3,0.000000e+000,3.088131e-002,-3.020609e+001,2020-06-23T17:02:12.304000,Normal,
4,0.000000e+000,3.108843e-002,-3.014802e+001,2020-06-23T17:02:12.354000,Normal,
5,0.000000e+000,3.108843e-002,-3.014802e+001,2020-06-23T17:02:12.404000,Normal,
6,0.000000e+000,3.132581e-002,-3.008195e+001,2020-06-23T17:02:12.454000,Normal,
7,0.000000e+000,3.132581e-002,-3.008195e+001,2020-06-23T17:02:12.504000,Normal,
8,0.000000e+000,3.153546e-002,-3.002402e+001,2020-06-23T17:02:12.554000,Normal,
9,0.000000e+000,3.153546e-002,-3.002402e+001,2020-06-23T17:02:12.604000,Normal,
10,0.000000e+000,3.161931e-002,-3.000095e+001,2020-06-23T17:02:12.654000,Normal,
11,0.000000e+000,3.161931e-002,-3.000095e+001,2020-06-23T17:02:12.704000,Normal,
12,0.000000e+000,3.155589e-002,-3.001839e+001,2020-06-23T17:02:12.754000,Normal,
13,0.000000e+000,3.155589e-002,-3.001839e+001,2020-06-23T17:02:12.804000,Normal,
14,0.000000e+000,3.140662e-002,-3.005957e+001,2020-06-23T17:02:12.854000,Normal,
15,0.000000e+000,3.140662e-002,-3.005957e+001,2020-06-23T17:02:12.904000,Normal,
16,0.000000e+000,3.121079e-002,-3.011390e+001,2020-06-23T17:02:12.954000,Normal,
17,0.000000e+000,3.121079e-002,-3.011390e+001,2020-06-23T17:02:13.003000,Normal,
18,0.000000e+000,3.101515e-002,-3.016852e+001,2020-06-23T17:02:13.053000,Normal,
19,0.000000e+000,3.101515e-002,-3.016852e+001,2020-06-23T17:02:13.104000,Normal,
20,0.000000e+000,3.089929e-002,-3.020103e+001,2020-06-23T17:02:13.153000,Normal,
21,0.000000e+000,3.089929e-002,-3.020103e+001,2020-06-23T17:02:13.204000,Normal,
22,0.000000e+000,3.085327e-002,-3.021398e+001,2020-06-23T17:02:13.253000,Normal,
23,0.000000e+000,3.085327e-002,-3.021398e+001,2020-06-23T17:02:13.304000,Normal,
24,0.000000e+000,3.081575e-002,-3.022454e+001,2020-06-23T17:02:13.353000,Normal,
25,0.000000e+000,3.081575e-002,-3.022454e+001,2020-06-23T17:02:13.403000,Normal,
26,0.000000e+000,3.081046e-002,-3.022604e+001,2020-06-23T17:02:13.454000,Normal,
27,0.000000e+000,3.081046e-002,-3.022604e+001,2020-06-23T17:02:13.503000,Normal,
28,0.000000e+000,3.089660e-002,-3.020179e+001,2020-06-23T17:02:13.554000,Normal,
29,0.000000e+000,3.089660e-002,-3.020179e+001,2020-06-23T17:02:13.603000,Normal,
30,0.000000e+000,3.097766e-002,-3.017903e+001,2020-06-23T17:02:13.654000,Normal,
31,0.000000e+000,3.097766e-002,-3.017903e+001,2020-06-23T17:02:13.703000,Normal,
32,0.000000e+000,3.088774e-002,-3.020428e+001,2020-06-23T17:02:13.753000,Normal,
33,0.000000e+000,3.088774e-002,-3.020428e+001,2020-06-23T17:02:13.803000,Normal,
34,0.000000e+000,3.065506e-002,-3.026996e+001,2020-06-23T17:02:13.853000,Normal,
35,0.000000e+000,3.065506e-002,-3.026996e+001,2020-06-23T17:02:13.904000,Normal,
36,0.000000e+000,3.049780e-002,-3.031463e+001,2020-06-23T17:02:13.953000,Normal,
37,0.000000e+000,3.049780e-002,-3.031463e+001,2020-06-23T17:02:14.004000,Normal,
38,0.000000e+000,3.056264e-002,-3.029618e+001,2020-06-23T17:02:14.053000,Normal,
39,0.000000e+000,3.056264e-002,-3.029618e+001,2020-06-23T17:02:14.104000,Normal,
40,0.000000e+000,3.073045e-002,-3.024862e+001,2020-06-23T17:02:14.153000,Normal,
41,0.000000e+000,3.073045e-002,-3.024862e+001,2020-06-23T17:02:14.204000,Normal,
42,0.000000e+000,3.079212e-002,-3.023121e+001,2020-06-23T17:02:14.254000,Normal,
43,0.000000e+000,3.079212e-002,-3.023121e+001,2020-06-23T17:02:14.304000,Normal,
44,0.000000e+000,3.073118e-002,-3.024842e+001,2020-06-23T17:02:14.354000,Normal,
45,0.000000e+000,3.073118e-002,-3.024842e+001,2020-06-23T17:02:14.403000,Normal,
46,0.000000e+000,3.070347e-002,-3.025625e+001,2020-06-23T17:02:14.454000,Normal,
47,0.000000e+000,3.070347e-002,-3.025625e+001,2020-06-23T17:02:14.503000,Normal,
48,0.000000e+000,3.080970e-002,-3.022625e+001,2020-06-23T17:02:14.554000,Normal,
49,0.000000e+000,3.080970e-002,-3.022625e+001,2020-06-23T17:02:14.604000,Normal,
50,0.000000e+000,3.094992e-002,-3.018681e+001,2020-06-23T17:02:14.654000,Normal,
51,0.000000e+000,3.094992e-002,-3.018681e+001,2020-06-23T17:02:14.704000,Normal,
52,0.000000e+000,3.100498e-002,-3.017137e+001,2020-06-23T17:02:14.753000,Normal,
53,0.000000e+000,3.100498e-002,-3.017137e+001,2020-06-23T17:02:14.804000,Normal,
54,0.000000e+000,3.102117e-002,-3.016684e+001,2020-06-23T17:02:14.853000,Normal,
55,0.000000e+000,3.102117e-002,-3.016684e+001,2020-06-23T17:02:14.904000,Normal,
56,0.000000e+000,3.112407e-002,-3.013807e+001,2020-06-23T17:02:14.954000,Normal,
57,0.000000e+000,3.112407e-002,-3.013807e+001,2020-06-23T17:02:15.003000,Normal,
58,0.000000e+000,3.134730e-002,-3.007600e+001,2020-06-23T17:02:15.053000,Normal,
59,0.000000e+000,3.134730e-002,-3.007600e+001,2020-06-23T17:02:15.103000,Normal,
60,0.000000e+000,3.157774e-002,-3.001238e+001,2020-06-23T17:02:15.153000,Normal,
61,0.000000e+000,3.157774e-002,-3.001238e+001,2020-06-23T17:02:15.203000,Normal,
62,0.000000e+000,3.169941e-002,-2.997898e+001,2020-06-23T17:02:15.253000,Normal,
63,0.000000e+000,3.169941e-002,-2.997898e+001,2020-06-23T17:02:15.304000,Normal,
64,0.000000e+000,3.170803e-002,-2.997661e+001,2020-06-23T17:02:15.353000,Normal,
65,0.000000e+000,3.170803e-002,-2.997661e+001,2020-06-23T17:02:15.403000,Normal,
66,0.000000e+000,3.168369e-002,-2.998329e+001,2020-06-23T17:02:15.453000,Normal,
67,0.000000e+000,3.168369e-002,-2.998329e+001,2020-06-23T17:02:15.503000,Normal,
68,0.000000e+000,3.167776e-002,-2.998491e+001,2020-06-23T17:02:15.553000,Normal,
69,0.000000e+000,3.167776e-002,-2.998491e+001,2020-06-23T17:02:15.603000,Normal,
70,0.000000e+000,3.165913e-002,-2.999002e+001,2020-06-23T17:02:15.654000,Normal,
