file name,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch1
ch_type,Overall
x_unit,
y_unit,g
unit,g
db_ref,1.000000e+000
detection,rms
data
record,rpm,value,value(dB),time,alarm,note
1,0.000000e+000,9.202786e-003,-4.072161e+001,2020-06-23T17:02:12.204000,Normal,
2,0.000000e+000,9.302883e-003,-4.062765e+001,2020-06-23T17:02:12.254000,Normal,
3,0.000000e+000,9.302883e-003,-4.062765e+001,2020-06-23T17:02:12.304000,Normal,
4,0.000000e+000,9.510444e-003,-4.043598e+001,2020-06-23T17:02:12.354000,Normal,
5,0.000000e+000,9.510444e-003,-4.043598e+001,2020-06-23T17:02:12.404000,Normal,
6,0.000000e+000,9.728147e-003,-4.023940e+001,2020-06-23T17:02:12.454000,Normal,
7,0.000000e+000,9.728147e-003,-4.023940e+001,2020-06-23T17:02:12.504000,Normal,
8,0.000000e+000,9.767148e-003,-4.020464e+001,2020-06-23T17:02:12.554000,Normal,
9,0.000000e+000,9.767148e-003,-4.020464e+001,2020-06-23T17:02:12.604000,Normal,
10,0.000000e+000,9.603139e-003,-4.035174e+001,2020-06-23T17:02:12.654000,Normal,
11,0.000000e+000,9.603139e-003,-4.035174e+001,2020-06-23T17:02:12.704000,Normal,
12,0.000000e+000,9.362575e-003,-4.057209e+001,2020-06-23T17:02:12.754000,Normal,
13,0.000000e+000,9.362575e-003,-4.057209e+001,2020-06-23T17:02:12.804000,Normal,
14,0.000000e+000,9.196197e-003,-4.072783e+001,2020-06-23T17:02:12.854000,Normal,
15,0.000000e+000,9.196197e-003,-4.072783e+001,2020-06-23T17:02:12.904000,Normal,
16,0.000000e+000,9.185212e-003,-4.073822e+001,2020-06-23T17:02:12.954000,Normal,
17,0.000000e+000,9.185212e-003,-4.073822e+001,2020-06-23T17:02:13.003000,Normal,
18,0.000000e+000,9.243978e-003,-4.068282e+001,2020-06-23T17:02:13.053000,Normal,
19,0.000000e+000,9.243978e-003,-4.068282e+001,2020-06-23T17:02:13.104000,Normal,
20,0.000000e+000,9.296108e-003,-4.063398e+001,2020-06-23T17:02:13.153000,Normal,
21,0.000000e+000,9.296108e-003,-4.063398e+001,2020-06-23T17:02:13.204000,Normal,
22,0.000000e+000,9.410268e-003,-4.052796e+001,2020-06-23T17:02:13.253000,Normal,
