file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch1
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,4.984333e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
0.000000e+000,3.489492e-006,-1.091448e+002
1.250000e+000,3.801448e-006,-1.084010e+002
2.500000e+000,1.265216e-007,-1.379567e+002
3.750000e+000,2.934132e-007,-1.306504e+002
5.000000e+000,1.120840e-006,-1.190091e+002
6.250000e+000,1.436264e-007,-1.368553e+002
7.500000e+000,7.103446e-006,-1.029706e+002
8.750000e+000,1.159817e-004,-7.871221e+001
1.000000e+001,2.282525e-004,-7.283169e+001
1.125000e+001,2.653197e-005,-9.152461e+001
1.250000e+001,1.671670e-005,-9.553699e+001
1.375000e+001,1.669339e-005,-9.554911e+001
1.500000e+001,1.867025e-006,-1.145770e+002
1.625000e+001,6.108789e-006,-1.042809e+002
1.750000e+001,1.221856e-005,-9.825960e+001
1.875000e+001,2.751720e-006,-1.112079e+002
2.000000e+001,5.836849e-007,-1.246764e+002
2.125000e+001,3.932092e-007,-1.281075e+002
2.250000e+001,3.449411e-006,-1.092451e+002
2.375000e+001,4.778890e-006,-1.064135e+002
2.500000e+001,4.341519e-005,-8.724717e+001
2.625000e+001,1.112485e-004,-7.907411e+001
2.750000e+001,2.264496e-005,-9.290057e+001
2.875000e+001,6.568552e-006,-1.036506e+002
3.000000e+001,5.336981e-005,-8.545409e+001
3.125000e+001,1.380378e-005,-9.720004e+001
3.250000e+001,2.595922e-006,-1.117142e+002
3.375000e+001,3.991753e-006,-1.079767e+002
3.500000e+001,9.376790e-006,-1.005589e+002
3.625000e+001,3.855202e-006,-1.082791e+002
3.750000e+001,9.265875e-009,-1.606623e+002
3.875000e+001,7.155696e-006,-1.029070e+002
4.000000e+001,1.044732e-005,-9.961990e+001
4.125000e+001,2.176465e-006,-1.132450e+002
4.250000e+001,2.640138e-006,-1.115675e+002
4.375000e+001,5.679317e-006,-1.049141e+002
4.500000e+001,3.204708e-006,-1.098842e+002
4.625000e+001,1.894056e-006,-1.144521e+002
4.750000e+001,2.146976e-006,-1.133635e+002
4.875000e+001,3.702948e-006,-1.086290e+002
5.000000e+001,7.386289e-007,-1.226315e+002
5.125000e+001,1.314048e-006,-1.176278e+002
5.250000e+001,3.423828e-007,-1.293098e+002
5.375000e+001,1.636167e-007,-1.357234e+002
5.500000e+001,3.803156e-007,-1.283971e+002
5.625000e+001,1.243353e-006,-1.181081e+002
5.750000e+001,5.201540e-006,-1.056774e+002
5.875000e+001,6.315175e-005,-8.399229e+001
6.000000e+001,8.544023e-005,-8.136675e+001
6.125000e+001,1.162925e-005,-9.868897e+001
6.250000e+001,4.324031e-006,-1.072822e+002
6.375000e+001,7.274482e-006,-1.027640e+002
6.500000e+001,7.613257e-006,-1.023686e+002
6.625000e+001,1.477625e-007,-1.366087e+002
6.750000e+001,4.005730e-006,-1.079464e+002
6.875000e+001,4.488467e-006,-1.069580e+002
7.000000e+001,5.289416e-007,-1.255318e+002
7.125000e+001,8.032812e-007,-1.219026e+002
7.250000e+001,5.736667e-006,-1.048268e+002
7.375000e+001,4.209657e-006,-1.075151e+002
7.500000e+001,1.527707e-006,-1.163192e+002
7.625000e+001,4.441725e-006,-1.070490e+002
7.750000e+001,2.496281e-005,-9.205413e+001
7.875000e+001,2.936801e-005,-9.064251e+001
8.000000e+001,1.087478e-006,-1.192716e+002
8.125000e+001,4.452576e-006,-1.070278e+002
8.250000e+001,3.218209e-007,-1.298477e+002
8.375000e+001,2.062872e-005,-9.371055e+001
8.500000e+001,3.331419e-005,-8.954741e+001
8.625000e+001,1.032479e-005,-9.972238e+001
8.750000e+001,2.614203e-006,-1.116532e+002
8.875000e+001,6.858979e-006,-1.032748e+002
9.000000e+001,1.161371e-005,-9.870058e+001
9.125000e+001,4.157960e-006,-1.076224e+002
9.250000e+001,1.218047e-006,-1.182867e+002
9.375000e+001,5.305319e-006,-1.055058e+002
9.500000e+001,5.689479e-006,-1.048985e+002
9.625000e+001,2.611484e-006,-1.116623e+002
9.750000e+001,1.196109e-005,-9.844458e+001
9.875000e+001,7.960168e-006,-1.019816e+002
1.000000e+002,8.226911e-007,-1.216953e+002
1.012500e+002,2.459998e-006,-1.121813e+002
1.025000e+002,9.765242e-006,-1.002063e+002
1.037500e+002,1.703941e-006,-1.153709e+002
1.050000e+002,2.427906e-005,-9.229536e+001
1.062500e+002,7.094931e-003,-4.298104e+001
1.075000e+002,1.696676e-002,-3.540802e+001
1.087500e+002,2.445946e-003,-5.223106e+001
1.100000e+002,2.879184e-006,-1.108146e+002
1.112500e+002,2.209368e-005,-9.311464e+001
1.125000e+002,8.259573e-006,-1.016608e+002
1.137500e+002,1.088007e-006,-1.192674e+002
1.150000e+002,6.262681e-006,-1.040648e+002
1.162500e+002,6.978655e-005,-8.312457e+001
1.175000e+002,7.244043e-006,-1.028004e+002
1.187500e+002,1.142027e-003,-5.884647e+001
1.200000e+002,1.515191e-003,-5.639065e+001
1.212500e+002,2.480369e-004,-7.210968e+001
1.225000e+002,3.121276e-005,-9.011336e+001
1.237500e+002,1.329064e-005,-9.752908e+001
1.250000e+002,2.668970e-006,-1.114731e+002
1.262500e+002,4.519245e-007,-1.268987e+002
1.275000e+002,2.508084e-006,-1.120132e+002
1.287500e+002,8.262895e-007,-1.216574e+002
1.300000e+002,1.868768e-006,-1.145689e+002
1.312500e+002,6.222883e-007,-1.241202e+002
1.325000e+002,1.773146e-005,-9.502511e+001
1.337500e+002,9.917512e-005,-8.007195e+001
1.350000e+002,3.184420e-005,-8.993939e+001
1.362500e+002,3.151249e-005,-9.003034e+001
1.375000e+002,1.682815e-005,-9.547927e+001
1.387500e+002,9.242530e-008,-1.406842e+002
1.400000e+002,3.281269e-007,-1.296792e+002
1.412500e+002,1.927961e-006,-1.142980e+002
